Business Name,Address,City,State,Zip Code,Business Type,IT Type,Business Description,Year Established,Website,Longitude,Latitude,Location
Abata Therapeutics,75 Sidney St 4th Floor,Cambridge,MA,02139,Life Sciences,"Biotechnology, Medical, Therapeutics",Abata Therapeutics is a biotech company.,01/01/2021 12:00:00 AM,https://abatatx.com,-71.1022842,42.3615089,POINT (-71.1022842 42.3615089)
Pearl Bio,750 Main St,Cambridge,MA,02139,Life Sciences,Biotechnology,Pearl Bio is a synthetic biology company.,01/01/2020 12:00:00 AM,https://www.pearlbio.com/contact/,-71.0962734,42.3627993,POINT (-71.0962734 42.3627993)
Shape Pharmaceuticals,150 Cambridgepark Dr,Cambridge,MA,02140,Life Sciences,"Biotechnology, Medical, Pharmaceutical","Shape Pharmaceuticals, Inc. was incorporated in 2008 and is based in Cambridge, Massachusetts.",01/01/2008 12:00:00 AM,http://shapepharma.com,-71.1461188,42.3944332,POINT (-71.1461188 42.3944332)
Compt,281 Concord Ave,Cambridge,MA,02138,Technology,"Employment, Human Resources, Software","Compt is a perk management software that helps companies create, manage, and streamline perk stipends that delight employees.",01/01/2018 12:00:00 AM,https://www.compt.io,-71.1334791,42.3837454,POINT (-71.1334791 42.3837454)
FogPharma,30 Acorn Park Dr,Cambridge,MA,02140,Life Sciences,"Biopharma, Biotechnology, Health Care, Life Science, Pharmaceutical, Precision Medicine",FogPharma is a biopharmaceutical firm that develops precision medicines for the vast majority of therapeutic targets.,01/01/2015 12:00:00 AM,http://www.fogpharma.com,-71.1476441,42.3979905,POINT (-71.1476441 42.3979905)
Cequent Pharmaceuticals,222 Third St,Cambridge,MA,02142,Life Sciences,"Biotechnology, Health Care, Therapeutics",Cequent is a biopharmaceutical company pioneering the development of novel therapeutics to prevent and treat a wide range of human diseases.,01/01/2006 12:00:00 AM,http://www.cequentpharma.com,-71.0810267,42.3669902,POINT (-71.0810267 42.3669902)
ScribeUp,222 Jacobs St,Cambridge,MA,02141,Technology,"Retail, Shopping, Software",ScribeUp is a chrome plugin that allows you to sign up for free subscription trials without using credit card.,01/01/2020 12:00:00 AM,https://www.scribeup.io/,-71.0744633,42.3724284,POINT (-71.0744633 42.3724284)
Elemental Machines,185 Alewife Brook Pkwy #401,Cambridge,MA,02138,Technology,"Artificial Intelligence (AI), Biotechnology, Internet of Things, Machine Learning","Elemental Machines delivers data-driven insights that improves R&D, laboratory operations, and manufacturing outcomes.",01/01/2015 12:00:00 AM,https://elementalmachines.com,-71.1425219,42.3904981,POINT (-71.1425219 42.3904981)
Tremeau Pharmaceuticals,767 Concord Ave,Cambridge,MA,02138,Life Sciences,"Clinical Trials, Pharmaceutical, Therapeutics",A privately funded clinical stage company based Massachusetts .,01/01/2016 12:00:00 AM,https://www.tremeaurx.com/,-71.1532716,42.3929264,POINT (-71.1532716 42.3929264)
Parallel Bio,750 Main St,Cambridge,MA,02139,Life Sciences,"Biotechnology, Life Science, Pharmaceutical, Therapeutics",Parallel Bio develops tools that help in the discovery and development of immunotherapies.,01/01/2021 12:00:00 AM,https://www.parallel.bio,-71.0962734,42.3627993,POINT (-71.0962734 42.3627993)
